ticker,reason
ARGT,No usable OHLCV returned
DEM,No usable OHLCV returned
DGS,No usable OHLCV returned
DXJ,No usable OHLCV returned
EIDO,No usable OHLCV returned
EIS,No usable OHLCV returned
ENOR,No usable OHLCV returned
EPHE,No usable OHLCV returned
HEDJ,No usable OHLCV returned
IBB,No usable OHLCV returned
IHF,No usable OHLCV returned
IHI,No usable OHLCV returned
IJR,No usable OHLCV returned
ITA,No usable OHLCV returned
ITB,No usable OHLCV returned
ITOT,No usable OHLCV returned
IWB,No usable OHLCV returned
IWD,No usable OHLCV returned
IWF,No usable OHLCV returned
IWM,No usable OHLCV returned
IXP,No usable OHLCV returned
IYG,No usable OHLCV returned
IYJ,No usable OHLCV returned
IYK,No usable OHLCV returned
IYT,No usable OHLCV returned
IYW,No usable OHLCV returned
IYZ,No usable OHLCV returned
KBE,No usable OHLCV returned
MTUM,No usable OHLCV returned
PBJ,No usable OHLCV returned
QUAL,No usable OHLCV returned
REET,No usable OHLCV returned
REM,No usable OHLCV returned
REZ,No usable OHLCV returned
RWO,No usable OHLCV returned
SCHD,No usable OHLCV returned
SCHY,No usable OHLCV returned
SOXX,No usable OHLCV returned
USMV,No usable OHLCV returned
