date,ticker,priority,signal_role,rank_eligible,score_mode,universe,rotation_group,level,exposure,sector,industry_theme,primary_benchmark,parent_benchmark,paired_ticker,pair_type,data_status,bars_available,close,volume,dollar_volume,relative_dollar_volume,return_20,return_63,rs20,rs63,parent_rs20,parent_rs63,pair_spread_20,pair_spread_63,signal_rs20,signal_rs63,pair_signal_raw,pair_signal_confirmed,pair_signal,cmf20,obv_change_20,sma50,sma200,position_52w,trend_score,rotation_score,group_rank,group_size,group_percentile,score_change_5,score_change_10,score_change_20,score_change_63,rank_change_5,rank_change_20,rs20_change_5,rs63_change_20,days_leader_zone_20,leader_zone_streak,days_top_quartile_20,top_quartile_streak,consecutive_improving_days,rotation_state_raw,rotation_state_confirmed,rotation_state,confirmed_state_age,pending_rotation_state,pending_state_days,state_confirmation_bars,confirmed_pair_signal_age,pending_pair_signal,pending_pair_signal_days,pair_confirmation_bars,score_formula_version
2026-08-12,EFA,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,broad,"EAFE developed, large/mid",,,ACWX,ACWX,,,READY,502,108.389999,5794724.000000,628090130.823181,0.592512,0.035738,0.067532,0.005843,0.015712,0.005843,0.015712,,,0.005843,0.015712,,,,0.000059,2860679.000000,104.125965,98.950770,0.998526,1.000000,82.142857,1.000000,7.000000,100.000000,-3.571429,7.857143,22.142857,42.857143,0.000000,4.000000,-0.006839,0.026119,19,16,19,16,0,PERSISTENT_LEADER,PERSISTENT_LEADER,PERSISTENT_LEADER,10,,0,3,0,,0,3,v1.1
2026-08-12,VEA,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,broad,Developed markets ex-US,,,ACWX,ACWX,,,READY,502,73.249901,8965452.000000,656718469.787384,0.955519,0.034311,0.052386,0.004416,0.000567,0.004416,0.000567,,,0.004416,0.000567,,,,-0.098844,-18474648.000000,70.869261,66.277848,1.000000,1.000000,69.285714,2.000000,7.000000,85.714286,10.714286,-3.571429,-0.714286,20.000000,2.000000,-1.000000,0.002535,0.003271,11,2,11,2,0,NEUTRAL,NEUTRAL,NEUTRAL,17,,0,3,0,,0,3,v1.1
2026-08-12,SCZ,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,size,EAFE small cap,,,ACWX,EFA,,,READY,502,86.605003,1341747.000000,116202003.439156,1.042472,0.033966,0.030065,0.004071,-0.021755,-0.001772,-0.037467,,,0.004071,-0.021755,,,,-0.007066,3038763.000000,83.541104,80.201365,0.997753,1.000000,65.000000,3.000000,7.000000,71.428571,-12.857143,-11.428571,8.571429,28.571429,-1.000000,3.000000,-0.008547,0.002843,9,0,9,0,0,NEUTRAL,EMERGING,EMERGING,10,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,VWO,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,broad,"Emerging markets, broad",,,ACWX,ACWX,,,READY,502,60.404999,9080868.000000,548529820.454956,1.319437,0.015551,0.018299,-0.014344,-0.033520,-0.014344,-0.033520,,,-0.014344,-0.033520,,,,0.136709,-3176030.000000,59.223313,56.660184,0.986365,1.000000,64.285714,4.000000,7.000000,57.142857,-4.285714,16.428571,3.571429,-7.857143,-1.000000,0.000000,-0.001845,-0.024479,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,7,,0,3,0,,0,3,v1.1
2026-08-12,EMXC,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,diagnostic,Emerging markets ex-China,,,ACWX,ACWX,,,READY,502,96.750000,1024787.000000,99148142.250000,0.455313,0.015641,0.033160,-0.014254,-0.018659,-0.014254,-0.018659,,,-0.014254,-0.018659,,,,0.019530,-14434971.000000,96.743073,84.107339,0.908536,1.000000,54.285714,5.000000,7.000000,42.857143,13.571429,5.714286,-8.571429,-32.857143,1.000000,-2.000000,0.034552,-0.074300,1,0,1,0,1,NEUTRAL,WEAKENING,WEAKENING,29,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,VSS,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,size,International small cap,,,ACWX,ACWX,,,READY,502,159.550003,87438.000000,13950733.166840,0.578652,0.034360,0.000020,0.004465,-0.051800,0.004465,-0.051800,,,0.004465,-0.051800,,,,-0.034684,-299678.000000,154.286122,149.888435,0.986127,1.000000,49.285714,6.000000,7.000000,28.571429,9.285714,18.571429,9.285714,-6.428571,1.000000,1.000000,0.002290,-0.005547,0,0,0,0,0,NEUTRAL,NEUTRAL,NEUTRAL,27,,0,3,0,,0,3,v1.1
2026-08-12,EEM,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_BROAD,broad,"Emerging markets, large/mid",,,ACWX,ACWX,,,READY,502,66.424301,15990603.000000,1062164629.201492,0.726004,0.013029,0.014427,-0.016866,-0.037393,-0.016866,-0.037393,,,-0.016866,-0.037393,,,,0.056216,7352564.000000,66.117813,60.360521,0.932795,1.000000,45.714286,7.000000,7.000000,14.285714,-2.857143,1.428571,-19.285714,-44.285714,-2.000000,-5.000000,0.017529,-0.060240,1,0,1,0,1,WEAKENING,WEAKENING,WEAKENING,18,,0,3,0,,0,3,v1.1
2026-08-12,ACWX,CORE,BENCHMARK,False,REFERENCE,EX_US,EXUS_BROAD,broad,"All-world ex-US, large/mid",,,,,ITOT,EXUS_VS_US_BROAD,READY,502,77.684998,618572.000000,48053764.309814,0.346942,0.029895,0.051820,,,,,0.004901,-0.003244,,,,,,0.010220,891583.000000,75.380596,70.690465,1.000000,1.000000,,,,,,,,,,,,,0,0,0,0,0,REFERENCE,REFERENCE,REFERENCE,1,,0,3,0,,0,3,v1.1
2026-08-12,IEFA,EXTENDED,CONFIRMATION,False,REFERENCE,EX_US,EXUS_BROAD,broad,"EAFE developed, broad",,,ACWX,ACWX,,,READY,502,100.915001,8417592.000000,849461304.386536,1.122958,0.034601,0.062651,0.004706,0.010831,0.004706,0.010831,,,0.004706,0.010831,,,,0.035322,11768522.000000,97.039743,92.241287,0.998368,1.000000,,,,,,,,,,,-0.007328,0.022081,0,0,0,0,0,REFERENCE,REFERENCE,REFERENCE,1,,0,3,0,,0,3,v1.1
2026-08-12,IEMG,EXTENDED,CONFIRMATION,False,REFERENCE,EX_US,EXUS_BROAD,broad,"Emerging markets, broad IMI",,,ACWX,ACWX,,,READY,502,80.999901,10275484.000000,832313184.855621,0.995967,0.016565,0.014923,-0.013330,-0.036896,-0.013330,-0.036896,,,-0.013330,-0.036896,,,,0.017861,21772257.000000,80.237376,73.696166,0.941859,1.000000,,,,,,,,,,,0.017599,-0.053453,0,0,0,0,0,REFERENCE,REFERENCE,REFERENCE,1,,0,3,0,,0,3,v1.1
